open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1.69989E+12,36703.8,36845,36546.5,36812.2,12252.474,1.69989E+12,449594477.5,107886,5561.722,204159719.2,0
1.69989E+12,36812.2,36894.1,36672.4,36740.3,7115.262,1.69989E+12,261822294.3,66412,3373.072,124145919.9,0
1.69989E+12,36740.3,36805.6,36706.4,36788.4,2424.562,1.69989E+12,89138926.66,31160,1199.384,44097563.07,0
1.69989E+12,36788.3,36830,36734.8,36755.1,2409.9,1.69989E+12,88635867.24,28116,1359.266,49995234.72,0
1.69989E+12,36755.1,36918.4,36748.5,36871.7,4970.843,1.69989E+12,183213708.6,49266,2885.008,106336031.5,0
1.69989E+12,36871.7,36936,36852.6,36910.8,3911.707,1.69989E+12,144333101.3,41719,2193.456,80934389.25,0
1.69989E+12,36910.8,37074.3,36891,37045,5451.569,1.69989E+12,201676627,53766,3298.712,122032699.3,0
1.69989E+12,37044.9,37045.5,36890,36932.3,3356.207,1.69989E+12,124044200.4,34973,1546.666,57162588.21,0
1.69989E+12,36932.4,36969.8,36862,36891.5,2006.62,1.69989E+12,74054016.76,25422,952.851,35165186.24,0
1.69989E+12,36891.5,36896.5,36757,36785,3317.424,1.6999E+12,122173365.3,35332,1456.607,53637853.53,0
1.6999E+12,36785,36838.2,36650,36807.3,5039.172,1.6999E+12,185175978.5,50372,2470.667,90808525.83,0
1.6999E+12,36807.3,36841.4,36718,36719.7,1904.404,1.6999E+12,70023901.33,26666,910.31,33474032.35,0
1.6999E+12,36719.8,36744.4,36655,36696.9,2991.932,1.6999E+12,109782260.1,34290,1545.882,56727533.21,0
1.6999E+12,36696.8,36759.9,36624.8,36666,2873.857,1.6999E+12,105421042,32812,1360.865,49927976.72,0
1.6999E+12,36666.1,36760.5,36657,36738.9,1712.588,1.6999E+12,62894578.22,22446,895.774,32895085.83,0
1.6999E+12,36738.9,36807.2,36736.9,36791.5,1554.361,1.6999E+12,57169889.92,18702,971.752,35741133.17,0
1.6999E+12,36791.5,36814,36717.8,36771.6,1260.139,1.6999E+12,46326489.94,15417,524.945,19300503.65,0
1.6999E+12,36771.5,36814,36761.5,36799.7,909.445,1.6999E+12,33461539.01,11955,430.626,15844425.85,0
1.6999E+12,36799.7,36841.7,36774.1,36841.7,988.976,1.6999E+12,36401206.75,13806,466.734,17180674.11,0
1.6999E+12,36841.6,36850,36803.8,36822.2,762.694,1.6999E+12,28089423.7,13545,293.609,10813959.47,0
1.6999E+12,36822.2,36879.5,36822.2,36877.6,794.697,1.69991E+12,29286357.45,10904,549.964,20268066.91,0
1.69991E+12,36877.6,36910.8,36851.1,36855.1,1394.919,1.69991E+12,51446684.07,16863,679.074,25047591.98,0
1.69991E+12,36855.1,36873.4,36836.3,36839.6,808.288,1.69991E+12,29788920.7,11514,406.562,14983625.25,0
1.69991E+12,36839.6,36853.3,36781.4,36845.1,1299.696,1.69991E+12,47848966.86,15230,677.956,24959431.67,0
